Title,Company_name,Link
Fullstack developer angular js python,Beeso Studio,Link is not available
BaruERP Odoo,PT Kreasi Digital Indo Utama,Link is not available
BaruSoftware Development,PT Datindo Infonet Prima,Link is not available
Data Warehouse Engineer,GO-JEK,https://id.indeed.com//cmp/Pt.-Go--jek-Indonesia-2
Python Developer,NTT INDONESIA TECHNOLOGY,Link is not available
Full Stack Developer,Kompas Gramedia,https://id.indeed.com//cmp/Kompas-Gramedia-Group
Data Warehouse Engineer - GoPay,GO-JEK,https://id.indeed.com//cmp/Pt.-Go--jek-Indonesia-2
Developer / Programmer,StrategArt,Link is not available
Consultant as Python Developer,WRI Indonesia,Link is not available
ShopeePay QA Engineer [Entry Level] - NEW,Shopee,https://id.indeed.com//cmp/Shopee
ShopeePay QA Engineer [Experienced],Shopee,https://id.indeed.com//cmp/Shopee
BaruQA Engineer,StyleTheory,https://id.indeed.com//cmp/Styletheory
Software Quality Assurance Intern,Shopee,https://id.indeed.com//cmp/Shopee
BaruSoftware Quality Assurance - Manual Testing,Indodana,Link is not available
Full-stack Developer (Work from Home; Permanent),Dynamic Technology Lab Pte Ltd,Link is not available
